"2001",DATE
"April 01",DATE
"April 03",DATE
"Fr",DATE
"Huwebes",DATE
"We",DATE
"mar",DATE
"sa",DATE
"th",DATE
"tu",DATE
"Cavite",LOCATION
"DOJ",LOCATION
"Dacer",LOCATION
"East Triangle, NIA Road,",LOCATION
"Indang, Cavite",LOCATION
"NPA",LOCATION
"Pinyahan, Quezon City",LOCATION
"Southern Tagalog",LOCATION
"Alex Diloy",PERSON
"Chris Hermida, 31",PERSON
"Defense Secretary Angelo Reyes",PERSON
"Delon Porcalla",PERSON
"Doris Franche",PERSON
"Ebdane",PERSON
"Emmanuel Corbito",PERSON
"Enrile",PERSON
"Ermita",PERSON
"Grace Amargo",PERSON
"Hermida",PERSON
"Jimmy Lopez",PERSON
"Joy Cantos",PERSON
"Justice Secretary Hernando Perez",PERSON
"Lilia Tolentino",PERSON
"Lopez",PERSON
"Luis Jalandoni",PERSON
"Malou Rongalerios",PERSON
"NBI Director Reynaldo Wycoco",PERSON
"NBI-National Capital Region Director Samuel Ong",PERSON
"Ong",PERSON
"PAOCTF Chief Director Hermogenes Ebdane",PERSON
"PAOCTF-Visayas Chief Sr. Supt. Teofilo Vina",PERSON
"PPC",PERSON
"Pangulong Gloria Macapagal-Arroyo",PERSON
"Perez",PERSON
"Presidential Adviser on Peace Process Eduardo Ermita",PERSON
"Puwersa ng Masa",PERSON
"Salvador "Bubby" Dacer",PERSON
"Valenzuela Congressman Magtanggol Gunigundo",PERSON
